No,NPSN,Nama Satuan Pendidikan,Alamat,Kelurahan,Status,Kode Wilayah,Jenis Sekolah,Kecamatan,Alamat Lengkap,Country,Coordinates,Address found,lattitude,Longitude
8,20245517.0,SDN 224 CIJAMBE KOTA BANDUNG,Jl. Sukup Baru No. 18,Pasir Endah,NEGERI,26012,SD,Ujungberung,"Jl. Sukup Baru No. 18, Kel. Pasir Endah, Kec. Ujungberung, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9095045,107.6925212","Jl. Sukup Baru No.18, Pasir Endah, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40619, Indonesia",-6.9095045,107.6925212
9,20245714.0,SDN 225 MEKARGALIH KOTA BANDUNG,Jl. Sekemala No. 73,Pasanggrahan,NEGERI,26012,SD,Ujungberung,"Jl. Sekemala No. 73, Kel. Pasanggrahan, Kec. Ujungberung, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9080499,107.7148623","Jl. Sekemala No.73, Pasanggrahan, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40617, Indonesia",-6.9080499,107.7148623
10,20245731.0,SDN 253 PANGGUNGSARI KOTA BANDUNG,Jl. Teritorial No.112,Cigending,NEGERI,26012,SD,Ujungberung,"Jl. Teritorial No.112, Kel. Cigending, Kec. Ujungberung, Kota Bandung, Jawa Barat, Indonesia",id,"-6.908443900000001,107.7030415","Jl. Teritorial No.112, Cigending, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40611, Indonesia",-6.9084439,107.7030415
1,69969798.0,SD AL-IHSAN ISLAMIC SCHOOL,Jl. Cisaranten Baru I No. 11,Cisaranten Kulon,SWASTA,26013,SD,Arcamanik,"Jl. Cisaranten Baru I No. 11, Kel. Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9202729,107.6833981","Jl. Cisaranten Baru I (Behind Polsek No.11, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9202729,107.6833981
2,70058135.0,SD ARVARDIA,Jl. Cisaranten Kulon No. 24,Cisaranten Kulon,SWASTA,26013,SD,Arcamanik,"Jl. Cisaranten Kulon No. 24, Kel. Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9314408,107.6793437","Jl. Cisaranten Kulon No.24, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9314408,107.6793437
3,20270664.0,SD BINTANG MADANI,Jl. Terusan Pesantren No. 102,Cisaranten Bina Harapan,SWASTA,26013,SD,Arcamanik,"Jl. Terusan Pesantren No. 102, Kel. Cisaranten Bina Harapan, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9130796,107.6816464","Jl. Trs Pesantren No.102, Cisaranten Bina Harapan, Kec. Arcamanik, Kota Bandung, Jawa Barat 40294, Indonesia",-6.9130796,107.6816464
4,20267679.0,SD CERDAS MUTHAHHARI,Jl. Layar No. 17,Cisaranten Endah,SWASTA,26013,SD,Arcamanik,"Jl. Layar No. 17, Kel. Cisaranten Endah, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9213374,107.6718179","Jl. Layar No.17, Cisaranten Endah, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9213374,107.6718179
5,20255299.0,SD ISLAM CENDEKIA MUDA,Jl. Puri Ayu Pratama No. 17,Sukamiskin,SWASTA,26013,SD,Arcamanik,"Jl. Puri Ayu Pratama No. 17, Kel. Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.921314799999999,107.6748234","Jl. Puri Ayu Pratama No.17, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9213148,107.6748234
6,70031985.0,SD ISLAM NURUL AMANAH,Jl. Sumbersari No. 101,Cisaranten Kulon,SWASTA,26013,SD,Arcamanik,"Jl. Sumbersari No. 101, Kel. Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.936823299999999,107.6818665","Jl. Sumber Sari No.101, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9368233,107.6818665
7,70031981.0,SD ISLAM TERPADU AMANAH UMMAH,Jl. Cicukang No. 54,Cisaranten Bina Harapan,SWASTA,26013,SD,Arcamanik,"Jl. Cicukang No. 54, Kel. Cisaranten Bina Harapan, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9137252,107.6835714","Jl. Cicukang No.54, Cisaranten Bina Harapan, Kec. Arcamanik, Kota Bandung, Jawa Barat 40294, Indonesia",-6.9137252,107.6835714
8,20219577.0,SD ISLAM TERPADU LUQMANUL HAKIM,Jl. Cingised Komp. Pemda Kav. D13-D15,Cisaranten Endah,SWASTA,26013,SD,Arcamanik,"Jl. Cingised Komp. Pemda Kav. D13-D15, Kel. Cisaranten Endah, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9309033,107.6761734","Komp. Pemda, Jl. Cingised No.24, Cisaranten Endah, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9309033,107.6761734
9,20253757.0,SD MUTIARA BUNDA,Jl. Arcamanik Endah No.3,Sukamiskin,SWASTA,26013,SD,Arcamanik,"Jl. Arcamanik Endah No.3, Kel. Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9215906,107.6707735","Jl. Arcamanik Endah No.3, Cisaranten Endah, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9215906,107.6707735
