8,No,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG,Lattitude,longitude,.1,.2,.3
,41,CICENDO,HUSEIN SASTRANEGARA,"Kawasan Produksi-1 Bandara Husein Sastranegara, Jalan Pajajaran, Kelurahan Husein Sastranegara, Kecamatan Cicendo, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cicendo Husein Sastranegara 4,-6.9039886,107.5799633,,,
,42,SUKASARI,GEGERKALONG,"Jl. Abadi I No.31, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153",SPPG Kota Bandung Sukasari Gegerkalong 1,-6.8632773,107.5841095,,,
,43,LENGKONG,CIJAGRA,"Jalan Suryalaya Xii No. 21, Cijagra, Lengkong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Lengkong Cijagra 3,-6.9466444,107.6222779,,,
,44,ARCAMANIK,SUKAMISKIN,Jl. Cisaranten Kulon No. 91 Kec. Arcamanik Kota Bandung Jawa Barat,SPPG Kota Bandung Arcamanik Sukamiskin,-6.9195462,107.6848664,,,
,45,CIBIRU,CISURUPAN,"KP. CISURUPAN RT 005 RW 002, CISURUPAN, CIBIRU, KOTA BANDUNG JAWA BARAT",SPPG Kota Bandung Cibiru Cisurupan 2,-6.9044666,107.7266117,,,
,46,BANDUNG KULON,WARUNG MUNCANG,"Jl. Holis 147, Warung Muncang, Bandung Kulon, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kulon Warung Muncang,-6.9297082,107.5735146,,,
,47,ANDIR,CAMPAKA,"Jl. Raya Cimindi No.88, Campaka, Kecamatan Andir, Kota Bandung, Jawa Barat",SPPG Kota Bandung Andir Campaka 2,-6.900591,107.5632761,,,
,48,KIARACONDONG,CICAHEUM,Kelurahaan Cicaheum Kecamatan Kiaracondong Kota Bandung Jawa Barat,SPPG Kota Bandung Kiaracondong Cicaheum,-6.9105695,107.6497351,,,
,49,KIARACONDONG,SUKAPURA,"Jl. Soekarno Hatta No. 657 Kel. Sukapura Kec. Kiaracondong Kota Bandung, Jawa Barat",SPPG Kota Bandung Kiaracondong Sukapura 2,-6.9416216,107.6531724,,,
,50,CICENDO,HUSEIN SASTRANEGARA,"Jl. Pajajaran Kelurahan Husein, Kecamatan Cicendo, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cicendo Husein Sastranegara 6,-6.9052688,107.5836058,,,
